30,138
1,72,9.827,61.063,2,2,44,9.827,2
2,50,9.827,56.711,0,0,42,9.827,0
3,67,9.827,61.068,2,2,43,9.827,2
4,78,9.827,59.628,3,1,138,36.913,3
5,63,9.827,61.484,2,2,43,9.827,2
6,73,9.827,62.942,0,0,44,9.827,0
7,72,9.827,59.904,1,1,43,9.827,1
8,60,9.827,57.133,1,1,42,9.827,1
9,118,9.827,61.534,3,3,138,36.913,0
10,56,9.827,57.766,0,0,42,9.827,0
11,138,46.020,63.340,0,0,138,64.000,1
12,94,9.827,59.744,0,3,44,9.827,3
13,71,9.827,60.119,1,1,42,9.827,1
14,108,9.827,61.846,3,3,138,36.913,3
15,61,9.827,60.674,2,2,43,9.827,2
16,59,9.827,59.182,3,3,42,9.827,3
17,72,9.827,63.744,0,0,44,9.827,0
18,71,9.827,62.258,0,3,44,9.827,3
19,58,9.827,58.936,1,1,42,9.827,1
20,60,9.827,60.713,2,2,42,9.827,2
21,73,9.827,60.847,0,0,44,9.827,0
22,55,9.827,57.935,3,3,42,9.827,3
23,58,9.827,59.151,2,2,42,9.827,2
24,73,9.827,62.768,2,1,44,9.827,1
25,84,36.535,62.677,0,0,138,36.913,0
26,67,9.827,63.225,0,0,44,9.827,0
27,72,36.913,59.634,2,1,138,36.913,2
28,57,9.827,58.423,3,3,42,9.827,3
29,80,9.827,63.264,3,3,44,9.827,1
30,72,9.827,62.012,1,1,45,9.827,1
31,61,9.827,58.555,2,2,42,9.827,2
32,73,9.827,61.498,0,0,138,36.913,0
33,58,9.827,59.715,0,0,42,9.827,0
34,57,9.827,59.209,1,1,42,9.827,1
35,65,9.827,62.510,0,0,43,9.827,0
36,138,17.614,61.553,3,3,138,36.913,0
37,84,9.827,58.655,2,2,138,36.913,2
38,71,36.543,60.013,0,3,138,36.913,0
39,82,36.850,61.417,3,1,138,36.913,3
40,119,36.858,60.535,0,0,138,36.913,0
41,84,9.827,60.905,3,3,44,9.827,3
42,69,9.827,61.648,0,0,43,9.827,0
43,53,9.827,57.948,2,2,42,9.827,2
44,60,9.827,57.720,1,1,42,9.827,1
45,71,36.846,62.670,1,1,138,36.913,3
46,84,9.827,62.673,2,2,138,36.913,2
47,78,9.827,60.651,1,1,43,9.827,1
48,94,9.827,62.606,2,2,138,36.913,0
49,55,9.827,58.829,0,0,42,9.827,0
50,60,9.827,60.207,3,3,43,9.827,3
51,105,9.827,59.266,3,3,138,36.913,0
52,66,9.827,60.096,2,2,43,9.827,2
53,97,9.827,62.247,1,1,43,9.827,1
54,51,9.827,57.051,0,0,42,9.827,0
55,50,9.827,57.390,1,1,42,9.827,1
56,119,9.827,60.495,2,2,138,36.913,2
57,62,9.827,61.310,3,3,43,9.827,3
58,138,9.827,60.537,3,3,138,36.913,3
59,64,9.827,62.285,3,3,43,9.827,3
60,70,9.827,60.628,3,3,44,9.827,3
61,72,9.827,62.921,0,0,138,36.913,0
62,68,9.827,57.326,1,1,42,9.827,1
63,56,9.827,59.567,2,2,42,9.827,2
64,72,9.827,62.174,2,2,45,9.827,1
65,57,9.827,60.146,3,3,42,9.827,3
66,82,36.913,63.283,0,0,138,36.913,0
67,106,64.000,62.454,1,1,138,36.913,3
68,55,9.827,57.036,2,2,42,9.827,2
69,90,36.913,62.901,0,3,138,36.913,3
70,82,36.913,62.244,0,2,138,36.913,0
71,70,9.827,61.086,1,1,43,9.827,1
72,56,9.827,59.094,3,3,42,9.827,3
73,84,36.638,63.562,0,2,138,36.913,0
74,55,9.827,58.544,1,1,42,9.827,1
75,85,9.827,63.198,3,0,138,36.913,3
76,71,9.827,59.974,3,3,138,36.913,3
77,67,9.827,60.310,2,2,43,9.827,2
78,56,9.827,60.689,2,2,42,9.827,2
79,83,9.827,62.017,2,2,138,36.913,2
80,55,9.827,59.492,3,3,42,9.827,3
81,59,9.827,58.765,0,0,42,9.827,0
82,51,9.827,55.831,1,1,42,9.827,1
83,71,9.827,61.542,1,1,45,9.827,1
84,62,9.827,62.768,2,2,43,9.827,2
85,72,9.827,61.669,0,0,44,9.827,0
86,82,36.913,62.741,3,1,138,36.913,3
87,56,9.827,60.327,3,3,42,9.827,3
88,73,9.827,62.517,1,1,43,9.827,1
89,57,9.827,58.365,0,0,42,9.827,0
90,61,9.827,60.932,3,3,43,9.827,3
91,96,36.669,61.308,3,3,138,36.913,3
92,72,9.827,58.676,3,3,44,9.827,3
93,56,9.827,59.785,1,1,42,9.827,1
94,58,9.827,58.430,3,3,42,9.827,3
95,61,9.827,59.276,0,0,43,9.827,0
96,72,9.827,62.151,3,3,44,9.827,3
97,73,36.390,59.675,3,3,138,36.913,3
98,67,9.827,56.575,0,0,43,9.827,0
99,72,9.827,62.859,3,3,43,9.827,3
100,61,9.827,62.076,1,1,43,9.827,1
101,93,36.870,61.809,1,1,46,9.827,1
102,83,9.827,61.362,3,3,44,9.827,3
103,95,36.913,61.088,3,1,44,9.827,1
104,118,9.827,60.382,0,0,138,36.913,0
105,54,9.827,59.126,3,3,42,9.827,3
106,51,9.827,58.835,0,0,42,9.827,0
107,69,9.827,59.905,1,1,43,9.827,1
108,58,9.827,60.014,3,3,42,9.827,3
109,56,9.827,58.005,1,1,42,9.827,1
110,51,9.827,58.520,3,3,42,9.827,3
111,73,9.827,60.860,2,2,43,9.827,2
112,61,9.827,60.232,1,1,42,9.827,1
113,72,36.795,60.042,3,3,138,36.913,3
114,51,9.827,56.998,1,1,42,9.827,1
115,53,9.827,58.685,3,3,42,9.827,3
116,67,9.827,62.374,1,1,43,9.827,1
117,71,9.827,61.558,0,0,44,9.827,0
118,59,9.827,58.363,3,3,42,9.827,3
119,58,9.827,62.425,0,0,42,9.827,0
120,55,9.827,59.858,3,3,42,9.827,3
121,55,9.827,59.981,3,3,42,9.827,3
122,62,9.827,60.275,0,0,43,9.827,0
123,69,9.827,60.161,2,2,43,9.827,2
124,66,9.827,60.525,0,0,43,9.827,0
125,59,9.827,61.562,2,2,43,9.827,2
126,56,9.827,56.196,2,2,42,9.827,2
127,65,9.827,60.644,2,2,43,9.827,2
128,60,9.827,61.179,1,1,43,9.827,1
129,60,9.827,59.244,3,3,42,9.827,3
130,73,36.681,62.082,3,3,138,36.913,0
131,138,9.827,59.773,1,1,138,36.913,2
132,96,36.697,63.350,0,0,138,36.913,0
133,84,36.913,61.881,3,1,44,9.827,1
134,50,9.827,57.223,2,2,42,9.827,2
