30,138
1,78,36.713,61.063,2,2,44,9.827,2
2,57,9.827,56.711,0,0,42,9.827,0
3,78,36.705,61.068,2,2,43,9.827,2
4,77,36.854,59.628,3,1,138,36.913,3
5,127,36.913,61.484,0,2,43,9.827,2
6,113,64.000,62.942,1,0,44,9.827,0
7,91,36.913,59.904,3,1,43,9.827,1
8,90,36.913,57.133,3,1,42,9.827,1
9,77,36.913,61.534,0,3,138,36.913,0
10,64,9.827,57.766,0,0,42,9.827,0
11,60,64.000,63.340,1,0,138,64.000,1
12,109,36.913,59.744,0,3,44,9.827,3
13,128,36.913,60.119,3,1,42,9.827,1
14,95,36.913,61.846,3,3,138,36.913,3
15,92,36.913,60.674,0,2,43,9.827,2
16,72,9.827,59.182,3,3,42,9.827,3
17,96,63.492,63.744,0,0,44,9.827,0
18,92,36.913,62.258,0,3,44,9.827,3
19,83,9.827,58.936,1,1,42,9.827,1
20,74,9.827,60.713,2,2,42,9.827,2
21,93,64.000,60.847,1,0,44,9.827,0
22,71,9.827,57.935,3,3,42,9.827,3
23,72,9.890,59.151,2,2,42,9.827,2
24,109,64.000,62.768,1,1,44,9.827,1
25,79,36.913,62.677,0,0,138,36.913,0
26,86,9.827,63.225,0,0,44,9.827,0
27,72,36.913,59.634,2,1,138,36.913,2
28,86,9.827,58.423,3,3,42,9.827,3
29,138,39.606,63.264,3,3,44,9.827,1
30,76,64.000,62.012,1,1,45,9.827,1
31,109,36.913,58.555,0,2,42,9.827,2
32,78,36.890,61.498,0,0,138,36.913,0
33,83,9.827,59.715,0,0,42,9.827,0
34,86,9.827,59.209,1,1,42,9.827,1
35,78,9.827,62.510,0,0,43,9.827,0
36,110,36.913,61.553,0,3,138,36.913,0
37,60,36.886,58.655,2,2,138,36.913,2
38,91,36.913,60.013,0,3,138,36.913,0
39,95,63.913,61.417,1,1,138,36.913,3
40,78,36.921,60.535,0,0,138,36.913,0
41,130,64.000,60.905,1,3,44,9.827,3
42,91,36.913,61.648,0,0,43,9.827,0
43,63,9.827,57.948,2,2,42,9.827,2
44,120,9.827,57.720,1,1,42,9.827,1
45,97,36.894,62.670,1,1,138,36.913,3
46,96,63.878,62.673,1,2,138,36.913,2
47,110,64.000,60.651,1,1,43,9.827,1
48,138,16.055,62.606,2,2,138,36.913,0
49,61,9.827,58.829,0,0,42,9.827,0
50,120,9.827,60.207,3,3,43,9.827,3
51,61,36.913,59.266,0,3,138,36.913,0
52,82,9.827,60.096,2,2,43,9.827,2
53,105,9.827,62.247,1,1,43,9.827,1
54,58,9.827,57.051,0,0,42,9.827,0
55,61,9.827,57.390,1,1,42,9.827,1
56,93,64.000,60.495,1,2,138,36.913,2
57,138,10.693,61.310,3,3,43,9.827,3
58,76,36.913,60.537,3,3,138,36.913,3
59,91,9.827,62.285,3,3,43,9.827,3
60,90,36.913,60.628,3,3,44,9.827,3
61,92,64.000,62.921,1,0,138,36.913,0
62,75,36.913,57.326,3,1,42,9.827,1
63,65,9.827,59.567,2,2,42,9.827,2
64,96,36.913,62.174,2,2,45,9.827,1
65,85,9.827,60.146,3,3,42,9.827,3
66,95,36.913,63.283,0,0,138,36.913,0
67,75,64.000,62.454,1,1,138,36.913,3
68,67,9.827,57.036,2,2,42,9.827,2
69,93,63.638,62.901,1,3,138,36.913,3
70,89,36.913,62.244,0,2,138,36.913,0
71,129,64.000,61.086,1,1,43,9.827,1
72,71,9.827,59.094,3,3,42,9.827,3
73,94,64.000,63.562,1,2,138,36.913,0
74,64,9.827,58.544,1,1,42,9.827,1
75,91,64.000,63.198,1,0,138,36.913,3
76,94,36.913,59.974,3,3,138,36.913,3
77,109,36.913,60.310,0,2,43,9.827,2
